First_Name,Last_Name,Position,Jersey_#,Overall_Rating,Team,Year
Andre,Hal,SS,29,87,Texans,2019
Jarvis,Landry,WR,80,87,Browns,2019
Andrew,Luck,QB,12,87,Colts,2019
Malcolm,Butler,CB,21,87,Titans,2019
Leonard,Fournette,HB,27,87,Jaguars,2019
Dion,Lewis,HB,33,87,Titans,2019
Tyreek,Hill,WR,10,87,Chiefs,2019
Chris,Jones,RE,95,87,Chiefs,2019
Philip,Rivers,QB,17,87,Chargers,2019
LeGarrette,Blount,HB,29,87,Lions,2019
Ha Ha,Clinton-Dix,FS,21,87,Packers,2019
Marvin,Jones Jr,WR,11,87,Lions,2019
Ryan,Kerrigan,LOLB,91,87,Redskins,2019
Josh,Norman,CB,24,87,Redskins,2019
Glover,Quin,FS,27,87,Lions,2019
D.J.,Swearinger,SS,36,87,Redskins,2019
Christian,McCaffrey,HB,22,87,Panthers,2019
Allen,Robinson,WR,12,87,Bears,2019
Ryan,Ramczyk,RT,71,87,Saints,2019
Brandin,Cooks,WR,12,87,Rams,2019
Reuben,Foster,MLB,56,87,49ers,2019
Marcus,Peters,CB,22,87,Rams,2019
Jamal,Adams,SS,33,86,Jets,2019
Trey,Flowers,RE,98,86,Patriots,2019
Marcus,Gilbert,RT,77,86,Steelers,2019
Ryan,Shazier,MLB,50,86,Steelers,2019
Terrell,Suggs,ROLB,55,86,Ravens,2019
Justin,Tucker,K,9,86,Ravens,2019
Stephon,Tuitt,RE,91,86,Steelers,2019
Eric,Weddle,FS,32,86,Ravens,2019
Derrick,Henry,HB,22,86,Titans,2019
Yannick,Ngakoue,RE,91,86,Jaguars,2019
Brian,Orakpo,ROLB,98,86,Titans,2019
Amari,Cooper,WR,89,86,Raiders,2019
Rashaan,Melvin,CB,22,86,Raiders,2019
Jordy,Nelson,WR,82,86,Raiders,2019
Donald,Penn,LT,72,86,Raiders,2019
Jason,Verrett,CB,22,86,Chargers,2019
Jay,Ajayi,HB,26,86,Eagles,2019
Ronald,Darby,CB,21,86,Eagles,2019
Carson,Wentz,QB,11,86,Eagles,2019
Jimmy,Graham,TE,80,86,Packers,2019
T.J.,Lang,RG,76,86,Lions,2019
Clay,Matthews,LOLB,52,86,Packers,2019
Akiem,Hicks,LE,96,86,Bears,2019
Kyle,Rudolph,TE,82,86,Vikings,2019
Tevin,Coleman,HB,26,86,Falcons,2019
Brent,Grimes,CB,24,86,Buccaneers,2019
Mark,Ingram II,HB,22,86,Saints,2019
Grady,Jarrett,DT,97,86,Falcons,2019
DeForest,Buckner,DT,99,86,49ers,2019
Pierre,Garcon,WR,15,86,49ers,2019
Johnny,Hekker,P,6,86,Rams,2019
Danny,Amendola,WR,80,85,Dolphins,2019
Danny,Shelton,DT,71,85,Patriots,2019
Joe,Haden,CB,23,85,Steelers,2019
Maurkice,Pouncey,C,53,85,Steelers,2019
Jack,Doyle,TE,84,85,Colts,2019
Johnathan,Joseph,CB,24,85,Texans,2019
Lamar,Miller,HB,26,85,Texans,2019
Tashaun,Gipson,FS,39,85,Jaguars,2019
Malik,Jackson,DT,97,85,Jaguars,2019
Taylor,Lewan,LT,77,85,Titans,2019
Jared,Cook,TE,87,85,Raiders,2019
Marshawn,Lynch,HB,24,85,Raiders,2019
Nigel,Bradham,LOLB,53,85,Eagles,2019
Evan,Engram,TE,88,85,Giants,2019
Chris,Jones,P,6,85,Cowboys,2019
Matthew,Stafford,QB,9,85,Lions,2019
Rick,Wagner,RT,71,85,Lions,2019
Dalvin,Cook,HB,33,85,Vikings,2019
Jordan,Howard,HB,24,85,Bears,2019
Andrew,Sendejo,SS,34,85,Vikings,2019
Robert,Alford,CB,23,85,Falcons,2019
Matt,Bryant,K,3,85,Falcons,2019
Demario,Davis,MLB,56,85,Saints,2019
DeSean,Jackson,WR,11,85,Buccaneers,2019
Robbie,Gould,K,9,85,49ers,2019
John,Johnson III,SS,43,85,Rams,2019
Jerick,McKinnon,HB,28,85,49ers,2019
Ja'Wuan,James,RT,70,84,Dolphins,2019
Kenny,Stills,WR,10,84,Dolphins,2019
Robby,Anderson,WR,11,84,Jets,2019
David,Andrews,C,60,84,Patriots,2019
Kelvin,Benjamin,WR,13,84,Bills,2019
Charles,Clay,TE,85,84,Bills,2019
Adrian,Clayborn,LE,94,84,Patriots,2019
Dont'a,Hightower,LOLB,54,84,Patriots,2019
Leonard,Williams,LE,92,84,Jets,2019
Giovani,Bernard,HB,25,84,Bengals,2019
Morgan,Burnett,SS,42,84,Steelers,2019
Michael,Crabtree,WR,15,84,Ravens,2019
Carlos,Dunlap,LE,96,84,Bengals,2019
William,Jackson,CB,22,84,Bengals,2019
Tony,Jefferson,SS,23,84,Ravens,2019
Sam,Koch,P,4,84,Ravens,2019
C.J.,Mosley,MLB,57,84,Ravens,2019
Anthony,Castonzo,LT,74,84,Colts,2019
Eric,Ebron,TE,85,84,Colts,2019
Adam,Vinatieri,K,4,84,Colts,2019
Marcell,Dareus,DT,99,84,Jaguars,2019
Myles,Jack,LOLB,44,84,Jaguars,2019
Marquette,King,P,1,84,Broncos,2019
Tahir,Whitehead,LOLB,59,84,Raiders,2019
Nelson,Agholor,WR,13,84,Eagles,2019
Jamison,Crowder,WR,80,84,Redskins,2019
Paul,Richardson Jr,WR,10,84,Redskins,2019
Theo,Riddick,HB,25,84,Lions,2019
Alex,Smith,QB,11,84,Redskins,2019
Chris,Thompson,HB,25,84,Redskins,2019
Anthony,Barr,ROLB,55,84,Vikings,2019
Trey,Burton,TE,80,84,Bears,2019
Danielle,Hunter,LE,99,84,Vikings,2019
Danny,Trevathan,MLB,59,84,Bears,2019
Daryl,Williams,RT,60,84,Panthers,2019
Ricardo,Allen,FS,37,84,Falcons,2019
Jason,Pierre-Paul,LE,90,84,Buccaneers,2019
Marcus,Williams,FS,43,84,Saints,2019
Kyle,Juszczyk,FB,44,84,49ers,2019
Patrick,Chung,SS,23,83,Patriots,2019
Stephen,Gostkowski,K,3,83,Patriots,2019
Chris,Hogan,WR,15,83,Patriots,2019
Jerry,Hughes,RE,55,83,Bills,2019
Jermaine,Kearse,WR,10,83,Jets,2019
Shaq,Mason,RG,69,83,Patriots,2019
Steve,McLendon,DT,99,83,Jets,2019
James,White,HB,28,83,Patriots,2019
Avery,Williamson,MLB,54,83,Jets,2019
Duke,Johnson Jr,HB,29,83,Browns,2019
Quenton,Nelson,LG,56,83,Colts,2019
Al,Woods,DT,99,83,Colts,2019
Barry,Church,SS,42,83,Jaguars,2019
Adoree',Jackson,CB,25,83,Titans,2019
Bradley,Roby,CB,29,83,Broncos,2019
Logan,Ryan,CB,26,83,Titans,2019
Justin,Simmons,FS,31,83,Broncos,2019
Derek,Wolfe,LE,95,83,Broncos,2019
Travis,Benjamin,WR,12,83,Chargers,2019
Derek,Carr,QB,4,83,Raiders,2019
Dustin,Colquitt,P,2,83,Chiefs,2019
Karl,Joseph,SS,42,83,Raiders,2019
Corey,Liuget,DT,94,83,Chargers,2019
Sammy,Watkins,WR,14,83,Chiefs,2019
Trevor,Williams,CB,24,83,Chargers,2019
Timmy,Jernigan,DT,93,83,Eagles,2019
Nate,Solder,LT,76,83,Giants,2019
Darren,Sproles,HB,43,83,Eagles,2019
Jonathan,Stewart,HB,23,83,Giants,2019
Mike,Wallace,WR,14,83,Eagles,2019
Ezekiel,Ansah,RE,94,83,Lions,2019
Randall,Cobb,WR,18,83,Packers,2019
Vernon,Davis,TE,85,83,Redskins,2019
Blake,Martinez,MLB,50,83,Packers,2019
Muhammad,Wilkerson,LE,96,83,Packers,2019
Tarik,Cohen,HB,29,83,Bears,2019
Thomas,Davis Sr,ROLB,58,83,Panthers,2019
Dontari,Poe,DT,95,83,Panthers,2019
Sheldon,Richardson,DT,93,83,Vikings,2019
Vinny,Curry,RE,97,83,Buccaneers,2019
Cameron,Meredith,WR,81,83,Saints,2019
Patrick,Robinson,CB,21,83,Saints,2019
Ryan,Schraeder,RT,73,83,Falcons,2019
K.J.,Wright,ROLB,50,83,Seahawks,2019
Jimmy,Garoppolo,QB,10,83,49ers,2019
Jared,Goff,QB,16,83,Rams,2019
Marquise,Goodwin,WR,11,83,49ers,2019
Jaquiski,Tartt,SS,29,83,49ers,2019
Robert,Woods,WR,17,83,Rams,2019
Kenyan,Drake,HB,32,82,Dolphins,2019
Trent,Brown,RT,77,82,Patriots,2019
Malcom,Brown,DT,90,82,Patriots,2019
Marcus,Cannon,RT,61,82,Patriots,2019
Trumaine,Johnson,CB,22,82,Jets,2019
Kyle,Williams,DT,95,82,Bills,2019
Carl,Lawson,RE,58,82,Bengals,2019
Josh,Gordon,WR,12,82,Browns,2019
Carlos,Hyde,HB,34,82,Browns,2019
Mychal,Kendricks,MLB,54,82,Browns,2019
Deshaun,Watson,QB,4,82,Texans,2019
Johnathan,Cyprien,SS,37,82,Titans,2019
Ron,Leary,LG,65,82,Broncos,2019
Marqise,Lee,WR,11,82,Jaguars,2019
Rishard,Matthews,WR,18,82,Titans,2019
Jahleel,Addae,FS,37,82,Chargers,2019
Kendall,Fuller,CB,23,82,Chiefs,2019
Marcus,Gilchrist,FS,31,82,Raiders,2019
Anthony,Hitchens,MLB,53,82,Chiefs,2019
Tyrell,Williams,WR,16,82,Chargers,2019
Saquon,Barkley,HB,26,82,Giants,2019
David,Irving,DT,95,82,Cowboys,2019
Dak,Prescott,QB,4,82,Cowboys,2019
Sterling,Shepard,WR,87,82,Giants,2019
Dalvin,Tomlinson,RE,94,82,Giants,2019
Olivier,Vernon,ROLB,54,82,Giants,2019
Ameer,Abdullah,HB,21,82,Lions,2019
Marcedes,Lewis,TE,85,82,Packers,2019
Nick,Perry,ROLB,53,82,Packers,2019
Matt,Prater,K,5,82,Lions,2019
Kirk,Cousins,QB,8,82,Vikings,2019
Devin,Funchess,WR,17,82,Panthers,2019
Latavius,Murray,HB,25,82,Vikings,2019
Julius,Peppers,LE,90,82,Panthers,2019
Trai,Turner,RG,70,82,Panthers,2019
Terron,Armstead,LT,72,82,Saints,2019
Vic,Beasley Jr,LE,44,82,Falcons,2019
Cameron,Brate,TE,84,82,Buccaneers,2019
Ken,Crawley,CB,20,82,Saints,2019
Ted,Ginn Jr,WR,19,82,Saints,2019
Takkarist,McKinley,LE,98,82,Falcons,2019
Thomas,Morstead,P,6,82,Saints,2019
Ron,Parker,FS,38,82,Falcons,2019
Brooks,Reed,RE,50,82,Falcons,2019
Mohamed,Sanu Sr,WR,12,82,Falcons,2019
Max,Unger,C,60,82,Saints,2019
Tyler,Lockett,WR,16,82,Seahawks,2019
Antoine,Bethea,FS,41,82,Cardinals,2019
Nickell,Robey-Coleman,CB,23,82,Rams,2019
Jermaine,Gresham,TE,84,82,Cardinals,2019
DeVante,Parker,WR,11,81,Dolphins,2019
Robert,Quinn,RE,94,81,Dolphins,2019
Dwayne,Allen,TE,83,81,Patriots,2019
Trent,Murphy,RE,93,81,Bills,2019
Artie,Burns,CB,25,81,Steelers,2019
Alex,Collins,HB,34,81,Ravens,2019
Joe,Mixon,HB,28,81,Bengals,2019
Shawn,Williams,SS,36,81,Bengals,2019
Will,Fuller V,WR,15,81,Texans,2019
Zach,Fulton,LG,73,81,Texans,2019
Derrick,Kindred,SS,26,81,Browns,2019
Baker,Mayfield,QB,6,81,Browns,2019
Whitney,Mercilus,LOLB,59,81,Texans,2019
David,Njoku,TE,85,81,Browns,2019
D.J.,Reader,DT,98,81,Texans,2019
Tyrod,Taylor,QB,5,81,Browns,2019
Shaquil,Barrett,ROLB,48,81,Broncos,2019
Jack,Conklin,RT,78,81,Titans,2019
Dante,Fowler Jr,LE,56,81,Jaguars,2019
Austin,Seferian-Jenkins,TE,88,81,Jaguars,2019
DaQuan,Jones,LE,90,81,Titans,2019
Case,Keenum,QB,4,81,Broncos,2019
Matt,Paradis,C,61,81,Broncos,2019
Martavis,Bryant,WR,12,81,Raiders,2019
Laurent,Duvernay-Tardif,RG,76,81,Chiefs,2019
Austin,Ekeler,HB,30,81,Chargers,2019
Bruce,Irvin,RE,51,81,Raiders,2019
Desmond,King,CB,20,81,Chargers,2019
Chidobe,Awuzie,CB,24,81,Cowboys,2019
Cole,Beasley,WR,11,81,Cowboys,2019
Jake,Elliott,K,4,81,Eagles,2019
Jordan,Hicks,MLB,58,81,Eagles,2019
Allen,Hurns,WR,17,81,Cowboys,2019
Rodney,McLeod Jr,FS,23,81,Eagles,2019
Chris,Long,LE,56,81,Eagles,2019
Jalen,Mills,CB,31,81,Eagles,2019
Bryan,Bulaga,RT,75,81,Packers,2019
Pernell,McPhee,LOLB,96,81,Redskins,2019
Ty,Montgomery,HB,88,81,Packers,2019
Tavon,Wilson Sr,SS,32,81,Lions,2019
Tress,Way,P,5,81,Redskins,2019
Anthony,Zettel,LE,69,81,Lions,2019
C.J.,Anderson,HB,20,81,Panthers,2019
Taylor,Gabriel,WR,18,81,Bears,2019
Zach,Miller,TE,86,81,Bears,2019
Roquan,Smith,MLB,58,81,Bears,2019
Cody,Whitehair,LG,65,81,Bears,2019
Bryan,Anger,P,9,81,Buccaneers,2019
Matt,Bosher,P,5,81,Falcons,2019
De'Vondre,Campbell,ROLB,59,81,Falcons,2019
Tyeler,Davison,DT,95,81,Saints,2019
Josh,Hill,TE,89,81,Saints,2019
Ali,Marpet,RG,74,81,Buccaneers,2019
Jake,Matthews,LT,70,81,Falcons,2019
Alex,Okafor,RE,57,81,Saints,2019
Duane,Brown,LT,76,81,Seahawks,2019
Frank,Clark,LE,55,81,Seahawks,2019
Sebastian,Janikowski,K,11,81,Seahawks,2019
Brandon,Marshall,WR,15,81,Seahawks,2019
Corey,Peters,DT,98,81,Cardinals,2019
Weston,Richburg,C,58,81,49ers,2019
Matt,Haack,P,2,80,Dolphins,2019
Ryan,Allen,P,6,80,Patriots,2019
Henry,Anderson,RE,96,80,Jets,2019
Duron,Harmon,FS,21,80,Patriots,2019
Chris,Ivory,HB,33,80,Bills,2019
Buster,Skrine,CB,41,80,Jets,2019
Brandon,Carr,CB,24,80,Ravens,2019
Javon,Hargrave,DT,79,80,Steelers,2019
Marlon,Humphrey,CB,29,80,Ravens,2019
Matthew,Judon,LOLB,99,80,Ravens,2019
Dre,Kirkpatrick,CB,27,80,Bengals,2019
JuJu,Smith-Schuster,WR,19,80,Steelers,2019
T.J.,Watt,ROLB,90,80,Steelers,2019
Briean,Boddy-Calhoun,CB,20,80,Browns,2019
T.J.,Carrie,CB,38,80,Browns,2019
Matthias,Farley,SS,41,80,Colts,2019
E.J.,Gaines,CB,28,80,Browns,2019
Denzel,Ward,CB,21,80,Browns,2019
Blake,Bortles,QB,5,80,Jaguars,2019
Bradley,Chubb,RE,55,80,Broncos,2019
Corey,Davis,WR,84,80,Titans,2019
Ben,Jones,C,60,80,Titans,2019
Josh,Kline,RG,64,80,Titans,2019
Brandon,McManus,K,8,80,Broncos,2019
Darian,Stewart,SS,26,80,Broncos,2019
Dede,Westbrook,WR,12,80,Jaguars,2019
Wesley,Woodyard,MLB,59,80,Titans,2019
David,Amerson,CB,24,80,Chiefs,2019
Harrison,Butker,K,7,80,Chiefs,2019
Mario,Edwards Jr,DT,97,80,Raiders,2019
Justin,Ellis,DT,78,80,Raiders,2019
Derwin,James,SS,33,80,Chargers,2019
Derrick,Johnson,MLB,56,80,Raiders,2019
Russell,Okung,LT,76,80,Chargers,2019
Mitchell,Schwartz,RT,71,80,Chiefs,2019
Tavon,Austin,HB,10,80,Cowboys,2019
Dan,Bailey,K,5,80,Cowboys,2019
Derek,Barnett,RE,96,80,Eagles,2019
Tyrone,Crawford,RE,98,80,Cowboys,2019
Nick,Foles,QB,9,80,Eagles,2019
Byron,Jones,CB,31,80,Cowboys,2019
Haloti,Ngata,DT,94,80,Eagles,2019
Matthew,Ioannidis,LE,98,80,Redskins,2019
Sam,Martin,P,6,80,Lions,2019
Mario,Addison,RE,97,80,Panthers,2019
Bryce,Callahan,CB,37,80,Bears,2019
Kyle,Fuller,CB,23,80,Bears,2019
Graham,Gano,K,9,80,Panthers,2019
Eddie,Jackson,FS,39,80,Bears,2019
Shaq,Thompson,LOLB,54,80,Panthers,2019
Trae,Waynes,CB,26,80,Vikings,2019
Kwon,Alexander,MLB,58,80,Buccaneers,2019
Austin,Hooper,TE,81,80,Falcons,2019
Sheldon,Rankins,DT,98,80,Saints,2019
Mitch,Unrein,DT,98,80,Buccaneers,2019
Benjamin,Watson,TE,82,80,Saints,2019
Jameis,Winston,QB,3,80,Buccaneers,2019
Greg,Zuerlein,K,4,80,Rams,2019
Shaquill,Griffin,CB,26,80,Seahawks,2019
Rodger,Saffold III,LG,76,80,Rams,2019
Cooper,Kupp,WR,18,80,Rams,2019
Bradley,Pinion,P,5,80,49ers,2019
Justin,Pugh,RG,67,80,Cardinals,2019
Jamar,Taylor,CB,28,80,Cardinals,2019
Minkah,Fitzpatrick,CB,29,79,Dolphins,2019
Bobby,McCain,CB,28,79,Dolphins,2019
Kelvin,Beachum,LT,68,79,Jets,2019
Isaiah,Crowell,HB,20,79,Jets,2019
Quincy,Enunwa,WR,81,79,Jets,2019
Stephen,Hauschka,K,4,79,Bills,2019
Jordan,Jenkins,LOLB,48,79,Jets,2019
Bilal,Powell,HB,29,79,Jets,2019
Joe,Thuney,LG,62,79,Patriots,2019
Jordan,Berry,P,4,79,Steelers,2019
Chris,Boswell,K,9,79,Steelers,2019
John,Brown,WR,13,79,Ravens,2019
Darqueze,Dennard,CB,21,79,Bengals,2019
Joe,Flacco,QB,5,79,Ravens,2019
Cordy,Glenn,LT,77,79,Bengals,2019
Willie,Henry,LE,69,79,Ravens,2019
George,Iloka,FS,43,79,Bengals,2019
Lamar,Jackson,QB,8,79,Ravens,2019
Michael,Johnson,RE,90,79,Bengals,2019
Tyler,Kroft,TE,81,79,Bengals,2019
Brandon,LaFell,WR,11,79,Bengals,2019
Vance,McDonald,TE,89,79,Steelers,2019
Ronnie,Stanley,LT,79,79,Ravens,2019
Tavon,Young,CB,25,79,Ravens,2019
Corey,Coleman,WR,19,79,Browns,2019
Aaron,Colvin,CB,22,79,Texans,2019
Zach,Cunningham,MLB,41,79,Texans,2019
Damarious,Randall,FS,23,79,Browns,2019
Garett,Bolles,LT,72,79,Broncos,2019
Keelan,Cole,WR,84,79,Jaguars,2019
Brett,Kern,P,6,79,Titans,2019
Bennie,Logan,DT,96,79,Titans,2019
Marcus,Mariota,QB,8,79,Titans,2019
Donte,Moncrief,WR,10,79,Jaguars,2019
Domata,Peko Sr,DT,94,79,Broncos,2019
Tank,Carradine,RE,96,79,Raiders,2019
Gabe,Jackson,RG,66,79,Raiders,2019
Reggie,Ragland,MLB,59,79,Chiefs,2019
Spencer,Ware,HB,32,79,Chiefs,2019
Charcandrick,West,HB,35,79,Chiefs,2019
Damien,Williams,HB,26,79,Chiefs,2019
Kerwynn,Williams,HB,25,79,Chiefs,2019
Mike,Williams,WR,81,79,Chargers,2019
Kony,Ealy,RE,76,79,Cowboys,2019
Jourdan,Lewis,CB,27,79,Cowboys,2019
Terrance,Williams,WR,83,79,Cowboys,2019
Stefen,Wisniewski,LG,61,79,Eagles,2019
Jonathan,Allen,RE,93,79,Redskins,2019
Quinton,Dunbar,CB,47,79,Redskins,2019
Mike,Adams,SS,29,79,Panthers,2019
Prince,Amukamara,CB,20,79,Bears,2019
Leonard,Floyd,ROLB,94,79,Bears,2019
Charles,Leno Jr,LT,72,79,Bears,2019
Eric,Kendricks,MLB,54,79,Vikings,2019
Kyle,Long,RG,75,79,Bears,2019
Ryan,Quigley,P,4,79,Vikings,2019
Chris,Godwin,WR,12,79,Buccaneers,2019
O.J.,Howard,TE,80,79,Buccaneers,2019
Adam,Humphries,WR,10,79,Buccaneers,2019
Andy,Levitre,LG,67,79,Falcons,2019
Wil,Lutz,K,3,79,Saints,2019
David,Onyemata,DT,93,79,Saints,2019
Brian,Poole,CB,34,79,Falcons,2019
Vita,Vea,DT,50,79,Buccaneers,2019
Arik,Armstead,LE,91,79,49ers,2019
Budda,Baker,SS,36,79,Cardinals,2019
Sam,Bradford,QB,9,79,Cardinals,2019
Rob,Havenstein,RT,79,79,Rams,2019
Dion,Jordan,RE,95,79,Seahawks,2019
Andy,Lee,P,2,79,Cardinals,2019
Jarran,Reed,DT,90,79,Seahawks,2019
Charles,Harris,RE,90,78,Dolphins,2019
Ryan,Tannehill,QB,17,78,Dolphins,2019
Lorenzo,Alexander,LOLB,57,78,Bills,2019
Teddy,Bridgewater,QB,5,78,Jets,2019
Rex,Burkhead,HB,34,78,Patriots,2019
Morris,Claiborne,CB,21,78,Jets,2019
Vontae,Davis,CB,22,78,Bills,2019
Lawrence,Guy,DT,93,78,Patriots,2019
Marcus,Maye,FS,26,78,Jets,2019
Josh,McCown,QB,15,78,Jets,2019
Cairo,Santos,K,8,78,Jets,2019
Ramon,Foster,LG,73,78,Steelers,2019
Mike,Hilton,CB,28,78,Steelers,2019
Hayden,Hurst,TE,81,78,Ravens,2019
